,Player,PER 1st,PER 2nd,Win Shares 1st,Win Shares 2nd,Win Shares per 48 min 1st,Win Shares per 48 min 2nd,BPM 1st,BPM 2nd,VORP 1st,VORP 2nd,Win Shares(Col),Win Shares per 40 min(Col),Strength of Schedule(Col),Year Drafted
182,Andre Iguodala,13.5,14.8,6.6,7.5,0.11800000000000001,0.11599999999999999,2.3,2.1,2.9,3.2,3.0,0.12300000000000001,6.63,2004
183,Luke Jackson,16.3,7.9,0.1,0.0,0.085,-0.003,-6.7,-4.2,-0.1,-0.2,5.5,0.20600000000000002,6.91,2004
184,Kris Humphries,9.5,10.3,-0.3,0.2,-0.019,0.019,-5.0,-4.8,-0.7,-0.4,3.5,0.14,5.36,2004
185,Kirk Snyder,8.6,14.6,-0.2,2.2,-0.012,0.08199999999999999,-5.0,-0.5,-0.7,0.5,5.2,0.193,5.82,2004
186,Jameer Nelson,14.5,19.5,2.5,4.9,0.07400000000000001,0.132,-0.5,2.2,0.6,1.9,6.6,0.243,4.97,2004
187,Delonte West,12.3,15.1,0.9,5.7,0.09,0.114,-0.6,1.9,0.2,2.4,7.0,0.26,4.97,2004
188,Tony Allen,14.7,12.9,2.7,1.7,0.10300000000000001,0.08199999999999999,-0.1,-1.4,0.6,0.2,6.3,0.228,7.23,2004
189,Kevin Martin,8.7,14.8,0.1,5.5,0.016,0.13699999999999998,-5.0,0.1,-0.3,1.0,5.4,0.254,-3.84,2004
190,David Harrison,12.9,11.8,1.4,1.5,0.09,0.068,-1.3,-4.2,0.1,-0.6,5.4,0.23399999999999999,7.18,2004
191,Andrew Bogut,15.2,15.5,5.5,4.0,0.113,0.085,1.8,0.5,2.3,1.4,10.9,0.358,4.54,2005
192,Marvin Williams,12.2,12.2,2.8,2.3,0.069,0.051,-3.7,-2.7,-0.8,-0.4,4.8,0.239,10.66,2005
193,Deron Williams,12.4,17.1,2.8,7.2,0.059000000000000004,0.11699999999999999,-2.3,0.8,-0.2,2.1,4.6,0.14,8.47,2005
194,Chris Paul,22.1,22.0,10.4,8.8,0.17800000000000002,0.179,6.1,4.6,5.7,3.9,4.6,0.171,10.27,2005
195,Raymond Felton,14.2,13.5,2.6,2.3,0.051,0.039,0.0,-0.7,1.2,1.0,5.1,0.179,10.66,2005
196,Charlie Villanueva,16.4,15.8,3.9,1.7,0.079,0.085,-1.0,-2.9,0.6,-0.2,4.8,0.24,7.62,2005
197,Channing Frye,18.1,10.5,3.5,0.9,0.10800000000000001,0.024,-1.6,-4.7,0.2,-1.3,7.4,0.256,8.03,2005
198,Ike Diogu,15.8,14.9,2.6,1.5,0.12300000000000001,0.094,-3.1,-4.9,-0.3,-0.5,8.4,0.29,5.36,2005
199,Sean May,15.3,19.1,0.4,2.2,0.047,0.127,-2.8,0.9,-0.1,0.6,7.7,0.311,10.66,2005
