Deron Williams,12.4,17.1,2.8,7.2,.059,.117,-2.3,0.8,-0.2,2.1
Chris Paul,22.1,22.0,10.4,8.8,.178,.179,6.1,4.6,5.7,3.9
Raymond Felton,14.2,13.5,2.6,2.3,.051,.039,0.0,-0.7,1.2,1.0
Charlie Villanueva,16.4,15.8,3.9,1.7,.079,.085,-1.0,-2.9,0.6,-0.2
Channing Frye,18.1,10.5,3.5,0.9,.108,.024,-1.6,-4.7,0.2,-1.3
Ike Diogu,15.8,14.9,2.6,1.5,.123,.094,-3.1,-4.9,-0.3,-0.5
Sean May,15.3,19.1,0.4,2.2,.047,.127,-2.8,0.9,-0.1,0.6
Rashad McCants,12.6,7.2,1.6,-0.3,.058,-0.023,-2.9,-4.4,-0.3,-0.3
Antoine Wright,0.7,8.1,-0.5,1.2,-0.062,.049,-9.0,-3.4,-0.7,-0.4
Joey Graham,10.2,12.9,1.3,3.0,.038,.108,-3.5,-2.6,-0.6,-0.2
Danny Granger,14.7,13.9,5.1,6.5,.139,.111,2.1,0.9,1.9,2.0
Hakim Warrick,11.0,15.9,0.8,3.7,.053,.082,-5.5,-2.8,-0.6,-0.4
Julius Hodge,4.2,14.0,-0.2,0.2,-0.219,.115,-6.9,-3.3,0.0,0.0
Nate Robinson,12.6,15.2,1.5,3.2,.046,.114,-1.5,0.2,0.2,0.7
Jarrett Jack,12.3,14.5,1.2,4.8,.035,.087,-3.6,-0.1,-0.7,1.3
Francisco Garcia,10.3,11.7,1.6,2.4,.060,.080,-1.3,-0.6,0.2,0.5
Luther Head,11.2,13.7,3.5,5.7,.072,.123,0.2,1.5,1.3,2.0
Jason Maxiell,8.0,14.4,-0.2,1.8,-0.054,.091,-9.8,-2.0,-0.3,0.0
Linas Kleiza,13.2,11.1,1.2,2.8,.111,.090,-4.3,-2.3,-0.3,-0.1
Wayne Simien,11.5,6.3,0.8,0.0,.096,.025,-4.5,-6.1,-0.3,-0.1
David Lee,15.4,20.2,2.7,6.9,.116,.191,0.4,3.8,0.7,2.5
LaMarcus Aldridge,17.1,18.5,3.4,6.2,.118,.113,-0.9,0.8,0.4,1.8
Adam Morrison,7.9,5.7,-1.5,0.0,-0.030,.001,-5.5,-5.5,-2.0,-0.6
Tyrus Thomas,14.8,14.6,2.2,2.4,.110,.088,0.1,-0.7,0.5,0.5
Shelden Williams,12.3,11.9,2.2,1.2,.070,.072,-3.6,-5.0,-0.6,-0.6
Brandon Roy,18.0,19.4,4.8,8.0,.114,.138,2.1,3.5,2.1,3.9
Randy Foye,14.0,12.7,2.3,1.1,.058,.042,-1.6,-1.4,0.2,0.2
Rudy Gay,12.4,17.4,0.5,5.0,.011,.080,-2.5,0.8,-0.3,2.1
Patrick O'Bryant,7.3,14.0,0.0,0.2,-0.003,.105,-4.1,-1.0,-0.1,0.0
J.J. Redick,13.0,12.7,1.7,0.5,.134,.091,-1.4,-4.3,0.1,-0.2
Hilton Armstrong,12.2,7.7,1.2,0.5,.091,.032,-2.6,-3.3,-0.1,-0.2
Ronnie Brewer,15.2,18.4,1.7,7.8,.124,.178,-0.2,3.9,0.3,3.1
Cedric Simmons,8.0,0.0,0.3,-0.2,.025,-0.134,-4.2,-12.6,-0.3,-0.2
Rodney Carney,11.4,12.1,1.3,1.6,.055,.075,-3.4,-2.6,-0.4,-0.2
Shawne Williams,9.7,12.8,0.7,1.4,.063,.069,-3.1,-2.3,-0.2,-0.1
Quincy Douby,9.0,9.7,0.0,0.0,-0.006,.000,-5.1,-5.4,-0.3,-0.8
Renaldo Balkman,16.1,11.5,2.8,1.3,.125,.065,1.4,-0.6,0.9,0.3
Rajon Rondo,13.1,15.6,2.4,7.2,.064,.150,0.4,2.6,1.1,2.7
Marcus Williams,11.5,11.0,-0.1,0.2,-0.004,.009,-4.8,-3.9,-0.9,-0.4
Josh Boone,14.6,14.8,1.7,3.7,.122,.100,-4.4,-1.2,-0.4,0.3
Kyle Lowry,18.3,14.3,0.5,3.4,.148,.078,3.3,-0.6,0.2,0.8
Shannon Brown,7.5,6.3,0.1,-0.5,.015,-0.102,-5.1,-9.6,-0.2,-0.5
Jordan Farmar,10.8,15.4,0.9,3.9,.038,.111,-2.9,0.7,-0.3,1.2
Maurice Ager,2.9,1.8,-0.3,-0.4,-0.060,-0.114,-9.3,-11.3,-0.4,-0.4
Mardy Collins,9.2,5.9,0.0,-1.0,.002,-0.079,-3.7,-6.2,-0.3,-0.7
Greg Oden,18.1,23.1,4.6,2.2,.167,.214,0.8,4.1,0.9,0.8
Kevin Durant,15.8,20.8,2.3,7.9,.040,.132,-1.4,1.8,0.4,2.8
Al Horford,14.7,17.0,5.5,6.8,.103,.145,-0.2,2.3,1.2,2.5
Mike Conley,12.6,14.3,1.1,4.5,.038,.086,-3.0,-0.2,-0.3,1.1
Jeff Green,9.8,13.9,0.2,4.2,.003,.070,-3.2,-0.8,-0.7,0.8
Corey Brewer,8.3,11.2,-0.2,0.3,-0.005,.052,-3.2,-0.8,-0.5,0.1
Brandan Wright,17.2,18.7,1.1,1.9,.142,.131,-2.4,-1.2,0.0,0.1
Joakim Noah,15.5,16.5,3.8,6.4,.120,.159,1.6,3.4,1.4,2.6
Spencer Hawes,11.6,13.0,0.6,0.8,.033,.016,-4.4,-2.1,-0.6,-0.1
Acie Law,7.7,10.6,-0.1,0.7,-0.007,.062,-6.7,-5.0,-1.0,-0.4
Thaddeus Young,16.5,15.3,4.5,5.5,.140,.102,0.6,0.5,1.0,1.7
Julian Wright,15.4,12.6,1.7,0.8,.126,.048,0.6,-2.1,0.4,0.0
Al Thornton,12.7,12.6,1.1,1.3,.025,.023,-3.8,-3.5,-1.0,-1.0
Rodney Stuckey,13.8,14.8,2.0,3.8,.090,.073,-1.1,-0.5,0.3,1.0
Nick Young,11.6,13.1,0.4,1.2,.017,.030,-5.6,-4.9,-1.1,-1.3
Sean Williams,13.9,8.8,2.5,0.3,.093,.036,-1.6,-2.4,0.1,0.0
Javaris Crittenton,11.0,11.0,0.1,0.0,.004,.013,-5.4,-5.5,-0.6,-0.2
Jason Smith,10.7,10.6,1.5,0.7,.067,.048,-3.8,-2.3,-0.5,0.0
Daequan Cook,7.9,10.3,-0.4,2.2,-0.013,.056,-5.1,-3.0,-1.1,-0.5
Jared Dudley,13.6,13.5,2.9,2.7,.100,.114,-0.3,0.8,0.6,0.8
Wilson Chandler,11.7,12.9,0.5,3.1,.038,.054,-3.5,-0.9,-0.3,0.8
Morris Almond,2.0,7.3,-0.1,0.1,-0.081,.010,-11.0,-6.8,-0.1,-0.3
Aaron Brooks,13.1,12.9,1.4,3.6,.112,.086,-1.8,-1.3,0.0,0.4
Arron Afflalo,10.2,8.9,1.9,1.8,.092,.069,-1.6,-2.4,0.1,-0.1
Alando Tucker,11.8,13.0,0.0,0.2,.042,.039,-11.8,-5.8,-0.1,-0.3
Derrick Rose,16.0,18.6,4.9,6.0,.078,.100,-0.6,0.5,1.1,1.8
Michael Beasley,17.2,16.1,3.4,4.6,.081,.095,-4.3,-1.7,-1.2,0.2
O.J. Mayo,14.2,14.6,3.4,5.6,.052,.087,-0.9,0.4,0.9,1.9
