,Player,sos,year,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,ws_per_40,g,fg_per_min,fga_per_min,fg_pct,fg2_per_min,fg2a_per_min,fg2_pct,fg3_per_min,fg3a_per_min,fg3_pct,ft_per_min,fta_per_min,ft_pct,trb_per_min,ast_per_min,stl_per_min,blk_per_min,tov_per_min,pf_per_min,pts_per_min
361,Norris Cole,1.74,2011,1285.0,0.5579999999999999,0.483,0.26,0.465,0.258,36,7.8,17.8,0.439,6.2,13.2,0.473,1.6,4.6,0.342,7.1,8.3,0.853,6.5,5.9,2.5,0.1,3.0,2.7,24.3
362,Cory Joseph,7.96,2011,1166.0,0.526,0.503,0.391,0.22699999999999998,0.152,36,4.7,11.0,0.42200000000000004,2.9,6.7,0.429,1.8,4.3,0.413,1.7,2.5,0.6990000000000001,4.4,3.7,1.3,0.4,1.9,2.2,12.9
363,Jimmy Butler,8.51,2011,1282.0,0.5870000000000001,0.516,0.152,0.628,0.198,37,5.8,11.9,0.49,5.2,10.1,0.515,0.6,1.8,0.345,5.9,7.5,0.7829999999999999,7.0,2.7,1.7,0.4,1.7,1.5,18.2
364,Anthony Davis,7.93,2012,1281.0,0.654,0.628,0.059000000000000004,0.602,0.31,40,6.6,10.5,0.623,6.5,9.9,0.653,0.1,0.6,0.15,4.5,6.3,0.7090000000000001,13.0,1.6,1.7,5.8,1.3,2.4,17.7
365,Michael Kidd-Gilchrist,7.93,2012,1245.0,0.57,0.511,0.156,0.589,0.192,40,5.1,10.5,0.491,4.7,8.8,0.535,0.4,1.6,0.255,4.6,6.2,0.745,9.5,2.4,1.3,1.2,2.8,3.1,15.3
366,Bradley Beal,7.33,2012,1267.0,0.575,0.525,0.473,0.44,0.18,37,5.5,12.4,0.445,3.5,6.5,0.541,2.0,5.9,0.33899999999999997,4.2,5.5,0.769,7.9,2.6,1.6,1.0,2.5,2.4,17.2
367,Dion Waiters,8.02,2012,891.0,0.565,0.534,0.317,0.331,0.223,37,7.6,16.0,0.47600000000000003,5.8,11.0,0.529,1.8,5.1,0.363,3.9,5.3,0.7290000000000001,3.8,4.1,3.0,0.5,2.2,3.1,21.0
368,Thomas Robinson,9.93,2012,1242.0,0.5489999999999999,0.512,0.027000000000000003,0.462,0.231,39,8.4,16.7,0.505,8.2,16.2,0.505,0.2,0.5,0.5,5.2,7.7,0.682,14.9,2.3,1.4,1.1,3.3,3.4,22.3
369,Damian Lillard,-3.65,2012,1105.0,0.635,0.562,0.465,0.519,0.29100000000000004,32,8.4,17.9,0.467,5.0,9.6,0.517,3.4,8.3,0.409,8.3,9.3,0.887,5.8,4.6,1.7,0.3,2.7,2.2,28.4
370,Harrison Barnes,7.07,2012,1111.0,0.528,0.48700000000000004,0.263,0.374,0.18100000000000002,38,8.2,18.8,0.44,6.5,13.8,0.469,1.8,4.9,0.358,5.1,7.0,0.723,7.1,1.5,1.5,0.5,2.7,2.4,23.3
