Jared Sullinger,7.9,.280,9.07,2012
John Jenkins,6.5,.223,8.04,2012
Jared Cunningham,5.0,.162,3.38,2012
Tony Wroten,3.2,.120,5.27,2012
Miles Plumlee,3.1,.177,8.40,2012
Arnett Moultrie,5.0,.186,,2012
Perry Jones,4.2,.167,8.03,2012
Marquis Teague,3.5,.108,7.93,2012
Festus Ezeli,2.1,.140,8.04,2012
Anthony Bennett,5.7,.238,5.71,2013
Victor Oladipo,6.7,.264,8.38,2013
Otto Porter,7.1,.260,7.59,2013
Cody Zeller,7.3,.274,8.38,2013
Alex Len,5.0,.200,4.66,2013
Nerlens Noel,3.9,.206,5.78,2013
Ben McLemore,6.5,.217,7.54,2013
Kentavious Caldwell-Pope,6.2,.230,6.09,2013
Trey Burke,8.6,.249,10.05,2013
C.J. McCollum,2.4,.261,-3.01,2013
Michael Carter-Williams,6.1,.174,8.57,2013
Steven Adams,3.5,.185,5.63,2013
Kelly Olynyk,6.7,.315,4.18,2013
Shabazz Muhammad,3.7,.149,7.82,2013
Shane Larkin,6.5,.199,7.88,2013
Tony Snell,3.6,.133,6.63,2013
Gorgui Dieng,5.6,.219,9.13,2013
Mason Plumlee,6.9,.220,9.54,2013
Solomon Hill,5.1,.176,7.47,2013
Tim Hardaway,4.5,.136,10.05,2013
Reggie Bullock,5.7,.207,8.01,2013
Andre Roberson,4.3,.166,7.95,2013
Archie Goodwin,3.1,.117,5.78,2013
Andrew Wiggins,4.9,.170,11.40,2014
Jabari Parker,5.5,.205,8.48,2014
Joel Embiid,3.4,.213,11.40,2014
Aaron Gordon,5.4,.183,9.04,2014
Marcus Smart,5.6,.220,8.34,2014
Julius Randle,5.9,.191,9.89,2014
Nik Stauskas,6.2,.193,9.65,2014
Noah Vonleh,3.6,.182,6.64,2014
Elfrid Payton,5.6,.177,-0.28,2014
Doug McDermott,7.7,.261,7.17,2014
Zach LaVine,2.5,.111,7.62,2014
T.J. Warren,6.5,.209,7.44,2014
Adreian Payne,4.3,.200,9.38,2014
James Young,4.7,.145,9.89,2014
Tyler Ennis,5.5,.180,7.25,2014
Gary Harris,5.3,.188,9.38,2014
Mitch McGary,1.0,.208,9.65,2014
Jordan Adams,6.4,.237,7.62,2014
Rodney Hood,4.9,.170,,2014
Shabazz Napier,7.9,.226,8.62,2014
P.J. Hairston,4.6,.228,8.01,2014
C.J. Wilcox,4.4,.159,6.45,2014
Josh Huestis,4.0,.126,9.00,2014
Kyle Anderson,5.6,.189,7.62,2014
Karl-Anthony Towns,6.4,.311,8.67,2015
D'Angelo Russell,6.8,.229,7.37,2015
Jahlil Okafor,6.7,.235,9.87,2015
Willie Cauley-Stein,6.0,.239,8.67,2015
Stanley Johnson,5.7,.212,7.41,2015
Frank Kaminsky,9.8,.299,10.29,2015
Justise Winslow,5.5,.196,9.87,2015
